2, 28-02-2021 18:39:58, GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,Fan speed           ,Fan speed 2         ,Fan tachometer      ,Fan tachometer 2    ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU9 temperature    ,CPU10 temperature   ,CPU11 temperature   ,CPU12 temperature   ,CPU13 temperature   ,CPU14 temperature   ,CPU15 temperature   ,CPU16 temperature   ,CPU17 temperature   ,CPU18 temperature   ,CPU19 temperature   ,CPU20 temperature   ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU9 usage          ,CPU10 usage         ,CPU11 usage         ,CPU12 usage         ,CPU13 usage         ,CPU14 usage         ,CPU15 usage         ,CPU16 usage         ,CPU17 usage         ,CPU18 usage         ,CPU19 usage         ,CPU20 usage         ,CPU usage           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Framerate 0.1% Low  
80, 28-02-2021 18:40:09,66,99,24,0,4,7332.891,1950,7000.983,93,78,78,2059,2055,0,1,1,0,51,51,62,62,48,48,52,52,52,52,62,62,57,57,51,51,48,48,54,54,63,30.203,20.685,23.858,19.099,23.858,15.926,23.858,22.272,7.995,28.617,3.236,85.723,38.135,4.822,34.962,7.995,34.962,19.099,27.03,7.995,24.016,15807,98.4,12.288,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:10,66,99,22,0,4,7332.891,1950,7000.983,93,78,78,2059,2056,0,1,1,0,51,51,48,48,57,57,51,51,51,51,65,65,54,54,51,51,49,49,51,51,65,21.875,15.625,18.75,15.625,18.75,23.438,23.438,17.188,15.625,21.875,37.5,60.938,56.25,10.938,23.438,23.438,32.813,21.875,31.25,12.5,25.156,15824,90.2,12.94,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:11,65,97,20,0,6,7364.891,1935,7000.983,85,78,78,2059,2054,0,0,1,0,52,52,48,48,51,51,66,66,53,53,58,58,64,64,52,52,49,48,62,62,65,31.25,15.625,21.875,18.75,10.938,28.125,31.25,14.063,21.875,14.063,9.375,65.625,40.625,9.375,28.125,4.688,25,12.5,28.125,21.875,22.656,15870,82.1,14.81,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:12,66,98,21,0,5,7364.891,1935,7000.983,90,78,78,2058,2058,0,1,1,0,54,54,61,61,55,56,58,58,61,61,71,71,65,65,58,58,65,65,55,55,66,23.438,31.25,43.75,21.875,17.188,25,34.375,28.125,39.063,29.688,26.563,62.5,67.188,15.625,43.75,9.375,39.063,18.75,20.313,28.125,31.25,15876,76.5,15.893,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:13,66,99,22,0,4,7364.891,1935,7000.983,96,78,78,2058,2055,0,1,1,0,52,52,50,50,51,51,52,52,52,52,64,64,52,52,52,52,56,56,56,56,64,26.108,30.727,29.187,15.333,26.108,15.333,24.569,12.254,33.805,30.727,24.569,69.212,53.818,18.411,39.963,26.108,30.727,10.714,26.108,26.108,28.494,15892,77.5,14.876,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:14,67,98,25,0,4,7364.891,1905,7000.983,91,78,78,2060,2056,0,1,0,0,54,54,48,48,50,50,51,51,51,51,61,61,52,52,54,54,49,49,53,53,61,21.875,25,25,17.188,15.625,15.625,18.75,15.625,18.75,12.5,6.25,79.688,32.813,18.75,23.438,25,18.75,10.938,21.875,7.813,21.563,15899,84.9,14.257,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:15,67,99,34,0,6,7364.891,1860,7000.983,93,78,78,2057,2056,0,1,0,0,53,53,56,56,55,55,54,54,56,56,62,61,52,52,53,53,51,51,55,55,61,31.25,17.188,26.563,18.75,18.75,21.875,26.563,17.188,17.188,23.438,14.063,73.438,45.313,6.25,29.688,9.375,26.563,20.313,34.375,25,25.156,15904,112.5,15.662,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:16,67,99,34,0,4,7364.891,1890,7000.983,102,78,78,2055,2051,0,1,0,0,53,53,52,55,50,50,51,51,51,51,60,60,54,54,53,53,50,50,58,58,60,35.938,20.313,21.875,15.625,25,12.5,20.313,12.5,26.563,15.625,1.563,89.063,32.813,6.25,23.438,4.688,18.75,17.188,20.313,17.188,21.875,15909,114.1,10.22,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:17,67,99,34,0,5,7364.891,1890,7000.983,101,78,78,2056,2055,0,1,0,0,58,58,52,52,55,55,52,52,57,57,55,55,60,60,53,53,51,52,55,55,59,42.188,15.625,14.063,14.063,20.313,10.938,26.563,10.938,10.938,18.75,4.688,87.5,46.875,4.688,31.25,12.5,21.875,21.875,20.313,1.563,21.875,15915,126.9,9.921,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
80, 28-02-2021 18:40:18,67,99,36,0,6,7364.891,1905,7000.983,101,78,78,2055,2058,0,1,0,0,53,53,51,51,55,55,55,55,52,52,61,61,52,52,53,53,56,56,53,53,61,40.625,12.5,23.438,15.625,29.688,18.75,31.25,18.75,18.75,23.438,12.5,84.375,60.938,12.5,35.938,15.625,35.938,15.625,29.688,28.125,28.203,15909,129.8,9.924,N/A                 ,N/A                 ,N/A                 ,N/A                 ,N/A                 
